[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:24] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:25] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:49] DetectorThread: Calling g_detector.Scan
[2026-04-14 21:41:26] [INFO] [BetterAngle.cpp:51] DetectorThread: Scan complete
